,MIMAT0004494,MIMAT0000450,MIMAT0002171,MIMAT0000280,MIMAT0019880,MIMAT0002807,MIMAT0000318,MIMAT0000073,MIMAT0000099,MIMAT0003218,MIMAT0000254,MIMAT0000689,MIMAT0015066,MIMAT0014995,ML_tags
TCGA.B2.5635.01,1097.903015,3.2879171,0.2989087,87.2819979,0.2989087,2.3912097,139.2924936,5.0814837,11771.6536,48.1246011,240753.4246,46702.999,0.2989087,4.4836201,1
TCGA.CJ.4878.01,561.2019297,3.4115634,0.4264212,72.0700007,1.7057356,1.4925061,256.0743951,20.6824601,19652.74375,29.4243341,359208.186,35874.60185,0.8527919,1.7056852,1
TCGA.BP.4994.01,326.7150148,3.7607497,1.4102787,178.1682132,445.5786953,1.4102782,578.2130945,7.9916805,10300.25333,31.0253311,220504.3398,31311.1034,0.9401709,0.9401928,1
TCGA.B0.5710.01,836.2021426,5.5509,3.5684349,76.920226,0.3964849,0.3964849,123.7053566,11.8947975,12380.75158,38.8552253,230132.3079,47887.58868,1.5859827,7.9299868,1
TCGA.A3.3387.01,1392.837401,2.811984817,2.811872858,86.70144291,1.405982489,1.171676576,86.46963821,5.623979601,10375.27482,50.61596107,129145.4001,38191.75531,0.703025456,1.874602504,1
TCGA.B8.5552.01,1640.889813,13.3879429,4.1194601,112.5927114,1.7163769,3.089571,124.2694121,20.5964483,14197.64415,95.4312133,136851.2511,32350.77255,1.5447744,5.3207074,1
TCGA.BP.4804.01,988.2237062,5.1277636,9.3578808,235.3605814,1.5383085,1.5382599,165.1122329,7.5631208,10716.27245,43.0727266,124429.5947,12993.13273,0.2564036,1.4100384,1
TCGA.CW.5584.01,1180.547499,8.7880774,1.4646669,101.5490956,138.7416169,0.9764651,41.4987965,7.8116919,9257.705067,40.5220341,200027.1228,75949.57241,139.466692,11.229555,1
TCGA.CJ.5683.01,1635.153036,8.5626389,1.9760525,80.3565006,0.3293307,0.9879697,143.5907568,17.1254771,13840.9479,111.6434193,135884.2999,48359.67797,0.9879755,6.2574444,1
TCGA.CJ.4881.01,2394.776671,0.92879466,4.58593373,147.7364757,1.16094447,0.81269798,325.3029444,3.13471976,9144.012661,136.9410904,92938.5799,21732.6608,0.3483407,2.84449898,1
TCGA.B0.5701.11,620.5137663,14.6492972,6.975739,84.0594352,1.0464261,1.7439454,488.3069431,10.1149361,5395.109485,52.6680435,250854.4229,37980.45517,1.3952388,2.4415895,1
TCGA.B4.5838.01,1910.191601,14.237484,2.3729244,81.4681836,0.7909189,2.3727596,104.4061279,16.610016,9859.045915,44.2936105,131989.9134,43490.95317,45.4698681,7.1184257,1
TCGA.BP.4975.01,952.4420825,1.3689047,4.3803499,56.3960514,2.7377432,0.8213308,105.6751074,3.2853142,26936.51125,58.5865241,142875.9811,29857.3877,36.6738753,18.3429136,1
TCGA.A3.3317.01,1025.451128,4.8193014,2.1418957,38.4208535,1.472593,0.2677761,206.0226178,7.6306709,9913.293386,36.6806478,250685.2624,67488.23957,1.0709604,4.8193048,1
TCGA.BP.4807.01,2494.51411,7.0635579,1.2465031,128.1833953,1.0387714,4.5705234,189.2628539,28.6698199,8303.676996,61.0788699,244701.4986,37697.20632,2.0775014,5.19381,1
TCGA.BP.4961.01,778.0704671,1.57175,3.513667,67.3111797,0.7397183,0.8321283,99.3966098,6.8420601,18276.65259,30.0491027,171184.6804,27712.53239,0.0924748,6.2873542,1
TCGA.BP.4797.01,2675.559448,9.4898656,0.5272116,146.0336243,0.5272116,1.5816349,191.3777421,20.5612751,9948.041522,45.3402908,112715.085,30213.95025,0.5272116,5.2721842,1
TCGA.DV.5574.01,838.6891405,10.4835746,3.4946227,163.0773246,1.1647686,0.5823843,111.2413274,16.307997,6178.923396,44.8476358,155214.1736,39673.16201,0.5823843,4.6592074,1
TCGA.CZ.4858.01,1207.629084,35.275036,48.9705096,219.9450077,4.5648822,1.244994,4.9798822,83.0009951,3971.195972,148.9829204,146598.3987,83904.84123,9.5448887,4.1500984,1
TCGA.B0.4837.01,2504.849205,6.221692,2.2397893,103.7756309,1.2442937,2.7375051,57.239656,26.8774838,5479.282987,48.77808,231324.8459,40764.68752,0.9955066,3.2352872,1
TCGA.B8.5553.01,1714.139156,3.7094876,0.7419461,159.8792353,1.8548103,2.2256613,169.153421,17.8051604,13685.91837,58.6091396,174252.6116,57502.93972,0.7419461,6.3059926,1
TCGA.CJ.5672.01,1420.217178,9.7055711,0.5392206,121.31605,0.5392206,5.9311317,235.0827527,9.166497,10483.85778,47.4487419,175860.75,36623.07766,4.8527626,3.7743357,1
TCGA.B4.5844.01,402.0498413,1.8050094,1.8049985,82.5769557,1.8049043,3.1587604,113.2610502,21.6591888,22469.57751,24.3665391,245009.661,62668.07921,4.0612367,1.8049043,1
TCGA.CZ.5459.01,1267.544067,6.4792697,1.0230174,37.852291,2.728139,1.7050002,141.5178088,24.8938788,9173.912299,62.4039895,202797.5986,46133.26783,1.0230174,1.7051339,1
TCGA.CZ.5470.01,1096.217492,29.8271189,0.3351483,209.4607654,1.0054399,2.0109109,156.8473082,27.8164588,5838.139397,17.4264719,89560.82857,22914.05887,0.6702966,4.3567613,1
TCGA.CZ.4854.01,1006.665244,4.0092795,1.7819934,30.1450715,2.2273093,0.4453785,191.1112552,5.7913029,9998.744271,48.1120822,138797.972,18528.13483,0.1484595,8.0190697,1
TCGA.BP.4790.01,1606.946501,5.9737205,2.787793,123.8548055,1.1947421,3.5843087,76.4636961,13.9387505,12483.44502,60.9335963,190762.1419,34007.40394,0.3982284,5.1771796,1
TCGA.BP.5008.01,3197.886688,6.0327265,2.4507262,226.7922064,1.8852573,1.3197745,185.6969478,31.4845833,11275.59128,41.6651383,316473.2261,29631.45361,0.9426787,1.3196385,1
TCGA.B4.5836.01,571.701847,2.5694884,1.7985897,95.8426272,2.312483,2.0555635,172.9285122,12.8474348,11920.2456,53.7028741,183536.7354,39188.60466,1.027705,4.3681998,1
TCGA.DV.5567.01,917.345201,28.0610564,1.0549453,18.3556546,1.0549508,0.6329719,298.7545623,4.0087445,6692.407612,39.244055,380587.3129,53277.18345,0.4219788,5.485515,1
TCGA.B0.4706.01,344.8272391,7.6666807,0.5476723,72.2855299,0.182549,2.190476,67.3591089,27.3814047,9816.852953,41.2536294,279231.6877,49778.75023,0.3650981,3.4684544,1
TCGA.CZ.4866.01,1878.89422,14.1202987,1.2459098,85.1377703,2.0764888,2.0765348,209.3176958,9.1367341,9066.174951,38.2092988,81762.78952,58247.03244,2.9071626,0.830579,1
TCGA.BP.4969.01,401.1708725,4.5686662,7.4237078,65.101854,1.4276659,2.284461,101.368118,17.9889296,12164.16542,27.4115905,214517.0975,60876.57875,59.6785237,0.8566476,1
TCGA.AK.3458.01,646.5197323,11.2589098,1.3246282,128.7482538,0.662339,1.0598257,120.93559,22.7831342,18336.52555,48.0828341,230077.9053,45306.12668,0.3973709,2.9142327,1
TCGA.B8.5550.01,1833.767081,9.1667601,6.1111548,71.1500711,2.1826693,1.746073,52.8168999,10.9127207,8526.063244,60.6728271,154495.6491,44972.71253,2.1826693,4.3652173,1
TCGA.CJ.5676.01,1870.40072,5.8437722,2.5568373,77.0648594,0.365283,0.7305659,94.5959523,16.0705622,8966.502455,37.2549271,194809.1698,47087.62428,0.365283,3.2873114,1
TCGA.CZ.5463.01,870.0471574,1.9644949,0.1964831,33.1985316,1.5715288,1.5716024,153.6171198,23.965648,14299.96879,47.5396472,219588.0962,35863.93987,2.5537899,5.6970499,1
TCGA.CJ.5686.01,1791.197069,3.1603655,1.1851011,156.8358857,1.1850839,5.9256951,109.0354676,14.2219662,12078.37807,91.2578932,113495.2401,32415.31679,0.7900501,3.1604256,1
TCGA.BP.4759.01,1067.043047,1.6876022,0.5625474,56.8117151,0.1341635,0.5625474,74.2486427,18.0000084,14620.66743,28.6873266,228165.6684,45174.66019,0.5625474,7.3126445,1
TCGA.CZ.5466.01,2885.793284,12.7608417,2.0418103,133.9923706,1.5313419,0.7656576,256.5062528,20.1626685,12096.63398,66.357794,140794.2179,48604.22223,1.5313151,5.6151036,1
TCGA.B0.5701.01,1969.583129,13.870498,126.4332844,104.0301331,1.2609674,1.8913881,85.1128328,13.240091,8007.091386,61.155594,168161.696,88435.45407,1.2609674,3.7829476,1
TCGA.A3.3358.01,1504.293231,1.8715932,1.1229936,101.8119759,0.7486058,1.1229025,101.8106425,14.5979307,12749.92852,28.4478471,145818.9544,44349.91181,149.1788054,2.6200259,1
TCGA.B0.5699.01,583.0675688,6.4292452,0.2217084,87.1264724,0.4434168,3.5470559,144.9908687,17.0702209,18667.2507,29.4862117,199248.0662,56310.2777,1.9952029,3.7689763,1
TCGA.BP.4977.01,795.2681684,3.7454253,0.2497158,82.6465315,0.9988003,1.7479,108.3672319,31.710637,12039.76032,57.4285087,224357.7805,33846.44248,2.4969808,2.2472591,1
