miRNA,has_miR_3065_5p,has_miR_19a_3p,has_miR_3130_5p,has_miR_101_3p,Class Labels
TCGA.B0.4811.01,1328.766711,26.14404667,7.546862386,10180.13338,1
TCGA.CZ.5458.01,1232.224886,22.50417863,0.57701333,12391.56382,1
TCGA.CJ.5675.01,1858.655648,9.609765001,1.067650286,14937.8623,1
TCGA.CJ.6032.01,1434.155866,11.16873988,1.811118558,9634.348371,1
TCGA.CZ.5982.01,2277.266815,31.84661464,2.599635583,23333.38751,1
TCGA.CJ.5679.01,748.0859114,8.005045409,8.004911172,10589.70066,1
TCGA.BP.4989.01,366.0915394,37.31799862,4.08567747,7214.328983,1
TCGA.B2.5641.01,1381.87691,10.1692086,2.259772745,9521.110439,1
TCGA.B0.5705.01,1974.453067,8.901830528,0.145914973,14971.60175,1
TCGA.B0.5697.01,1652.055989,7.023171564,3.241530992,8455.513256,1
TCGA.CW.5588.01,2724.568379,11.20460882,6.722874891,8814.387437,1
TCGA.CJ.6031.01,2520.097077,23.77758991,4.086752253,6966.062594,1
TCGA.BP.4959.01,333.2931727,26.06538503,18.37382718,11379.52204,1
TCGA.CJ.4635.01,389.3717917,41.16952882,1.257173331,8945.712088,1
TCGA.BP.5001.01,565.4309396,24.95943501,0.36706611,12231.47594,1
TCGA.B0.5694.01,1017.820335,13.83438337,0.847076453,15082.60435,1
TCGA.BP.4971.01,1587.470557,18.88496344,5.554419043,9030.530534,1
TCGA.B0.5696.01,2459.754286,10.53583224,2.34115024,10401.46319,1
TCGA.CW.6097.01,1318.387172,12.40611331,2.481271748,8892.978219,1
TCGA.CZ.5456.01,1052.632638,15.63543935,3.678878256,7624.425702,1
TCGA.BP.4968.01,587.5580114,31.95288359,1.304233722,9852.516836,1
TCGA.BP.4770.01,3204.654762,16.46343403,1.703264606,3007.131637,1
TCGA.CZ.5989.01,2479.564257,10.57176292,0.961133891,7786.114641,1
TCGA.B0.5075.01,558.682188,26.96783735,8.539892688,12203.42751,1
TCGA.BP.4992.01,1770.969059,16.17704494,0.283781788,14399.32301,1
TCGA.CZ.5467.01,2288.770895,12.34156946,0.561000737,12429.89175,1
TCGA.B8.5545.01,2297.374891,16.74760104,2.436002912,10885.71648,1
TCGA.CW.5589.01,1859.444443,14.22839981,0.961333885,10727.87357,1
TCGA.B0.4834.01,3513.128525,7.19778662,23.25478519,6346.225468,1
TCGA.CZ.5469.01,2999.139206,14.65661112,20.97451596,4157.465088,1
TCGA.CZ.5452.01,1244.335251,11.32698357,5.258747478,9151.146273,1
TCGA.CJ.5689.01,2076.563794,21.693847,5.045039567,7736.011806,1
TCGA.CZ.5451.01,1844.852519,15.99357839,0.26654646,9850.402055,1
TCGA.B0.5085.01,2463.13098,18.85060191,0.661400622,15311.99036,1
TCGA.EU.5904.01,2297.563328,19.09214913,67.40903673,17689.99639,1
TCGA.CJ.4889.01,458.1803931,17.95439593,0.718102761,11997.88103,1
TCGA.BP.4789.01,571.524415,18.42032036,0.657944959,15930.42239,1
TCGA.B8.4153.01,1893.377828,25.638626,3.114974226,15090.11196,1
TCGA.CJ.6030.01,1557.912031,18.96764577,7.43831128,9734.287225,1
TCGA.B0.5707.01,1707.54115,11.94484037,11.94474082,7501.219767,1
TCGA.B0.4816.01,1137.22295,17.87348,2.234176235,9537.154755,1
TCGA.B8.5551.01,496.9932876,19.22247507,5.60679579,7335.044088,1
TCGA.DV.5566.01,997.5228651,21.99170739,2.40533815,14956.63825,1
TCGA.EU.5906.01,1659.301481,17.88450726,1.9871389,16071.08384,1
TCGA.B8.4146.01,2275.881446,20.78771961,1.433613397,13467.28966,1
TCGA.BP.5007.01,1276.442837,4.120292524,0.274648976,26770.98581,1
TCGA.B0.5698.01,2153.325347,22.80941145,160.0716809,15235.68696,1
TCGA.B0.5706.01,2236.736161,14.86554612,1.607001442,9213.226347,1
TCGA.BP.4173.01,1042.08943,4.173548722,0.505851063,9436.128764,1
TCGA.BP.4987.01,1963.786504,21.20869558,0.48205604,25835.50784,1
TCGA.B0.5713.01,1946.515498,15.32656172,83.40716462,11112.60476,1
TCGA.B0.5703.01,1673.681971,5.929253804,0.847020655,8604.868002,1
TCGA.BP.4973.01,409.6663874,19.58097622,0.305950306,13858.77094,1
TCGA.B0.5711.01,1664.088176,16.53586957,0,17078.50831,1
TCGA.CJ.4899.01,3165.145456,19.41045863,1.712674139,9989.003212,1
TCGA.B0.5399.01,1838.664295,19.3430851,0.723064833,13847.148,1
TCGA.CZ.5984.01,1159.323359,14.70785823,10.38211774,9588.744343,1
TCGA.CZ.5453.01,2092.250422,14.06008092,1.058242467,14975.26974,1
TCGA.B0.4815.01,507.8502201,28.13729657,10.98010567,8854.962766,1
TCGA.B4.5378.01,2015.751618,9.05494433,0.794331328,6271.080091,1
TCGA.B0.5709.01,883.1791825,8.748522274,2.24328807,13732.64878,1
TCGA.DV.5575.01,1097.578142,4.382656901,1.947823512,11001.08991,1
TCGA.EU.5905.01,2046.917187,10.19586334,1.799235674,6778.485562,1
TCGA.EU.5907.01,1102.18327,10.81245615,1.441649071,13526.43329,1
TCGA.CZ.5985.01,1008.539336,14.03409107,6.291180626,8863.065205,1
TCGA.B8.5549.01,1640.118678,12.9632861,1.037076274,6606.075764,1
TCGA.B0.5693.01,1187.798492,10.02687518,1.156975107,23723.32008,1
TCGA.B8.5546.01,1738.340078,11.44057859,0.672956578,15871.10407,1
TCGA.BP.4985.01,809.023268,14.08231661,3.520584336,3546.341719,1
TCGA.B0.5690.01,2356.29147,19.43180678,0.826859146,10613.49775,1
TCGA.CZ.5457.01,1310.690986,10.31689077,5.158415657,10845.13818,1
TCGA.CJ.5684.01,1668.914359,15.06089378,47.09002995,13518.11298,1
TCGA.B0.4852.01,1790.388495,22.18316475,2.35264419,10493.8791,1
TCGA.BP.4981.01,1092.319458,5.528780942,0.298818645,17656.50683,1
TCGA.B0.4810.01,1905.498346,16.26018623,0.752854042,8916.950401,1
TCGA.CW.5581.01,1402.924064,6.005554239,1.334568302,9501.8988,1
TCGA.B8.4621.01,1827.420029,12.85936977,14.22730147,4920.528496,1
TCGA.BP.4970.01,2364.877217,12.83379798,1.711189779,9578.900007,1
