ENSG00000004939.12,ENSG00000070915.8,ENSG00000074803.16,ENSG00000086159.11,ENSG00000100362.11,ENSG00000102678.6,ENSG00000104413.14,ENSG00000105929.14,ENSG00000113889.10,ENSG00000115507.8,ENSG00000116039.10,ENSG00000118271.8,ENSG00000122194.17,ENSG00000132677.11,ENSG00000132698.12,ENSG00000133020.4,ENSG00000133742.12,ENSG00000135480.13,ENSG00000140519.11,ENSG00000141750.6,ENSG00000147606.7,ENSG00000147614.3,ENSG00000149452.14,ENSG00000152931.7,ENSG00000153292.14,ENSG00000157703.14,ENSG00000163631.15,ENSG00000164122.7,ENSG00000164363.9,ENSG00000164756.11,ENSG00000166105.14,ENSG00000167741.9,ENSG00000167748.9,ENSG00000168878.15,ENSG00000169344.14,ENSG00000170044.7,ENSG00000173253.13,ENSG00000184601.9,ENSG00000184905.7,ENSG00000184908.16,ENSG00000186766.7,ENSG00000188175.8,ENSG00000214128.9,ENSG00000223350.2,ENSG00000231290.4,ENSG00000241233.2,ENSG00000260802.1,ENSG00000277011.1,Class Labels
4.64385619,4.321928095,2.584962501,0.0,1.0,1.0,7.531381461,5.459431619,2.584962501,2.807354922,7.918863237,3.0,6.022367813,5.044394119,8.071462363,0.0,1.584962501,8.581200582,4.64385619,5.209453366,4.392317423,5.523561956,2.0,3.459431619,4.754887502,3.459431619,4.857980995,1.584962501,0.0,2.321928095,1.584962501,6.599912842,1.0,6.375039431,2.584962501,2.321928095,2.0,0.0,0.0,3.459431619,0.0,0.0,3.700439718,5.426264755,3.459431619,3.459431619,2.0,3.0,0
5.807354922,3.321928095,7.312882955,3.906890596,1.584962501,1.584962501,0.0,3.459431619,5.392317423,0.0,7.888743249,0.0,13.42482239,1.0,2.321928095,2.0,2.321928095,6.820178962,2.807354922,8.388017285,4.459431619,3.700439718,7.77478706,0.0,2.807354922,2.584962501,6.442943496,0.0,3.807354922,1.0,2.0,3.0,2.584962501,0.0,7.339850003,0.0,1.0,7.392317423,2.0,3.807354922,2.584962501,1.584962501,3.459431619,2.0,3.584962501,2.584962501,2.321928095,1.0,0
9.592457037,8.742366901999999,13.64846994,7.619818782499999,6.044394119,6.672425342,6.714245518,9.082149041,9.7447947125,0.0,9.781359714,2.807354922,12.69696753,5.247927513,6.754887502,7.011227255,0.0,8.77148947,8.169925001,7.781359714,7.531381461,8.118941073,8.714245518,5.518387305,8.539158811,3.700439718,7.727920455,0.0,4.247927513,3.321928095,4.087462841,7.936637939,6.459431619,1.0,10.142877455375,3.0,5.977279923,9.83447105,5.129283017,9.620219826,4.584962501,5.518387305,9.43788990125,2.0,3.584962501,3.0,1.0,4.95419631,0
11.1244665975,6.459431619,3.0,7.619818782499999,7.447976116000001,8.047368751,11.12088584,10.498106199374998,8.0,2.0,10.478842511,6.8048202374999995,1.0,7.751099295,10.57648435,1.0,2.321928095,13.74299310125,8.7843343475,12.66378045,9.327484898124998,12.287334259125,3.0,5.518387305,9.842350343,6.940477546,3.584962501,5.518387305,0.0,0.0,2.321928095,10.074096777000001,7.677220524125001,6.873655543500001,3.807354922,4.087462841,6.890759940000001,0.0,2.584962501,10.751167343999999,10.393880012499999,5.518387305,9.43788990125,0.0,3.169925001,6.0,6.700439718,8.9248125025,0
3.321928095,4.0,3.584962501,1.584962501,2.584962501,0.0,3.700439718,3.584962501,3.0,1.584962501,5.523561956,1.0,5.95419631,1.584962501,4.169925001,1.0,3.584962501,7.651051691,1.584962501,3.807354922,5.459431619,4.087462841,2.584962501,1.0,2.584962501,1.0,7.400879436,1.0,12.5667676,1.584962501,3.169925001,3.584962501,0.0,3.321928095,3.169925001,1.584962501,0.0,0.0,1.0,4.857980995,5.357552005,2.584962501,3.700439718,2.807354922,4.087462841,4.0,0.0,1.584962501,0
4.459431619,4.459431619,9.722807531,2.0,2.584962501,5.357552005,8.353146825,3.459431619,4.0,0.0,5.584962501,3.169925001,5.169925001,1.584962501,6.339850003,0.0,2.0,9.733015322,4.0,5.584962501,5.285402219,5.584962501,4.169925001,2.0,5.930737338,3.807354922,6.022367813,2.807354922,11.46760555,2.0,2.321928095,4.700439718,1.584962501,3.169925001,3.0,2.321928095,1.584962501,5.64385619,6.06608919,2.807354922,4.392317423,0.0,2.0,1.584962501,3.169925001,2.807354922,3.700439718,3.459431619,0
2.0,4.321928095,2.321928095,1.0,2.0,0.0,4.523561956,1.0,3.700439718,0.0,5.491853096,3.807354922,6.247927513,1.0,1.0,5.044394119,3.0,8.033423002,1.584962501,2.0,4.087462841,4.0,6.129283017,0.0,2.807354922,0.0,8.554588852,2.0,8.968666793,4.247927513,2.0,3.906890596,2.807354922,0.0,4.169925001,1.0,1.0,3.584962501,3.700439718,4.807354922,4.857980995,0.0,1.0,3.321928095,2.321928095,2.321928095,1.0,0.0,0
4.169925001,3.321928095,2.807354922,3.169925001,4.64385619,3.459431619,10.09011242,3.169925001,1.0,2.807354922,4.087462841,0.0,2.0,3.700439718,9.911391988,0.0,3.700439718,12.57506646,4.321928095,7.906890596,2.807354922,7.62935662,1.584962501,0.0,6.189824559,3.0,2.807354922,2.807354922,2.0,2.0,3.169925001,1.584962501,4.700439718,1.584962501,2.0,7.936637939,1.584962501,1.584962501,0.0,5.523561956,1.0,2.584962501,3.0,6.700439718,2.584962501,0.0,3.321928095,4.169925001,0
6.044394119,3.321928095,5.285402219,3.700439718,2.0,1.0,0.0,2.584962501,3.459431619,1.0,6.584962501,1.0,9.941047606,1.0,2.321928095,3.169925001,5.554588852,7.577428828,0.0,4.857980995,3.700439718,3.700439718,10.75238065,0.0,0.0,3.459431619,6.523561956,0.0,7.54689446,5.392317423,1.584962501,4.807354922,1.584962501,0.0,5.321928095,1.584962501,1.584962501,8.214319121,2.0,4.169925001,5.169925001,1.584962501,2.0,3.0,4.0,2.0,1.0,3.321928095,0
3.700439718,3.321928095,3.0,1.0,2.0,5.672425342,1.0,2.584962501,2.0,1.584962501,6.882643049,0.0,2.0,2.0,2.0,2.0,2.321928095,9.859534786,4.247927513,6.942514505,7.118941073,1.0,4.459431619,4.523561956,3.906890596,4.459431619,5.727920455,2.321928095,7.285402219,0.0,3.807354922,4.807354922,4.087462841,1.0,0.0,3.169925001,2.807354922,9.060695932,4.807354922,5.087462841,3.169925001,0.0,2.807354922,4.807354922,4.857980995,3.169925001,0.0,2.321928095,0
